File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF709VHF	bam	bam		alignments	hg19	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF920RKR/, /files/ENCFF048PWH/	991787571	Gene Yeo, UCSD	59a0c72e27c8fe7190f460c274bb4a99		https://www.encodeproject.org/files/ENCFF709VHF/@@download/ENCFF709VHF.bam				released	s3://encode-public/2018/05/23/873042f8-37df-44e3-97c1-ae8865e1ce8c/ENCFF709VHF.bam	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/873042f8-37df-44e3-97c1-ae8865e1ce8c/ENCFF709VHF.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF884DMT	bam	bam		alignments	hg19	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF659GPS/, /files/ENCFF366NPD/	672710785	Gene Yeo, UCSD	d8436ce69db7458f8e722a053b0fc226		https://www.encodeproject.org/files/ENCFF884DMT/@@download/ENCFF884DMT.bam				released	s3://encode-public/2018/05/23/384b38ed-b890-4da2-95af-7e7014bb6586/ENCFF884DMT.bam	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/384b38ed-b890-4da2-95af-7e7014bb6586/ENCFF884DMT.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF694MAN	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF879BYO/	5502940	Gene Yeo, UCSD	6bc25c6932d9744cbb302804c31a703d		https://www.encodeproject.org/files/ENCFF694MAN/@@download/ENCFF694MAN.bigBed				released	s3://encode-public/2018/05/23/ed3610b2-98e3-43e8-b1c6-95391d008bf1/ENCFF694MAN.bigBed	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/ed3610b2-98e3-43e8-b1c6-95391d008bf1/ENCFF694MAN.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF382AIQ	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF792GQD/	5025962	Gene Yeo, UCSD	146c2368612a648f4dc81f65dfdb7a2c		https://www.encodeproject.org/files/ENCFF382AIQ/@@download/ENCFF382AIQ.bigBed				released	s3://encode-public/2018/05/23/e5766404-dd3d-43bb-afda-92720a2acc71/ENCFF382AIQ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/e5766404-dd3d-43bb-afda-92720a2acc71/ENCFF382AIQ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF446NFS	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF202ITE/, /files/ENCFF118WBK/	2554997	Gene Yeo, UCSD	5a274af8f4f73d8521a35af2e9fee77f		https://www.encodeproject.org/files/ENCFF446NFS/@@download/ENCFF446NFS.bed.gz				released	s3://encode-public/2018/05/23/969a1d5d-8f24-42de-9164-786d7cc662f9/ENCFF446NFS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/969a1d5d-8f24-42de-9164-786d7cc662f9/ENCFF446NFS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF648BIE	bigBed narrowPeak	bigBed	narrowPeak	peaks	GRCh38	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF446NFS/	4909593	Gene Yeo, UCSD	3ab951a07fc8053fa29fb2448893f1c0		https://www.encodeproject.org/files/ENCFF648BIE/@@download/ENCFF648BIE.bigBed				released	s3://encode-public/2018/05/23/b129ed82-c696-40f6-96dd-b998cb94ad84/ENCFF648BIE.bigBed	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/b129ed82-c696-40f6-96dd-b998cb94ad84/ENCFF648BIE.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF022VMG	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF709VHF/	42367740	Gene Yeo, UCSD	349de9bebd1e9ea378930b4540ed1f3f		https://www.encodeproject.org/files/ENCFF022VMG/@@download/ENCFF022VMG.bigWig				released	s3://encode-public/2018/05/23/2a4e35af-1ae4-463b-aa71-4694389fdd5b/ENCFF022VMG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/2a4e35af-1ae4-463b-aa71-4694389fdd5b/ENCFF022VMG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF357LSF	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF884DMT/	29985290	Gene Yeo, UCSD	2a449115bd605484054ad78559538710		https://www.encodeproject.org/files/ENCFF357LSF/@@download/ENCFF357LSF.bigWig				released	s3://encode-public/2018/05/23/c758d4bb-c94e-4bdd-9372-a5972136dca3/ENCFF357LSF.bigWig	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/c758d4bb-c94e-4bdd-9372-a5972136dca3/ENCFF357LSF.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF169YHS	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF884DMT/	31434842	Gene Yeo, UCSD	52930be974f66ba73fc47e16021e1118		https://www.encodeproject.org/files/ENCFF169YHS/@@download/ENCFF169YHS.bigWig				released	s3://encode-public/2018/05/23/2e8bcc00-02d5-4d7a-96d1-69131fef0467/ENCFF169YHS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/2e8bcc00-02d5-4d7a-96d1-69131fef0467/ENCFF169YHS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF425OKT	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF709VHF/	43693255	Gene Yeo, UCSD	9d2af6e7adaae2b86d57bc9250e2665f		https://www.encodeproject.org/files/ENCFF425OKT/@@download/ENCFF425OKT.bigWig				released	s3://encode-public/2018/05/23/040423e7-5ed4-4bf0-9164-c62faef900bc/ENCFF425OKT.bigWig	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/040423e7-5ed4-4bf0-9164-c62faef900bc/ENCFF425OKT.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
