"protein","p.val","log2fc"
"ENCSR987FTF",0,-1.24373329773976
"ENCSR993OLA",0,-3.55480028420533
"ENCSR240MVJ",0,-0.41133661992429
"ENCSR018RVZ",0,-2.22019192597968
"ENCSR970FEW",0,-2.15285587044639
"ENCSR685AUR",0,-4.01470088736668
"ENCSR356ZMO",0,-3.49321724588405
"ENCSR766FAC",0,-4.71865309024593
"ENCSR979EWD",0,-1.33642022688835
"ENCSR279UJF",0,-2.64551877939133
"ENCSR993FMY",0,-1.50571417927186
"ENCSR351PVI",0,-1.5448858366566
"ENCSR786TSC",0,-2.32705611309407
"ENCSR834YLD",0,-2.05015045708031
"ENCSR655NZA",0,-1.24117295234533
"ENCSR755TJC",0,-0.775006571241598
"ENCSR265ZIS",0,-2.15303655732062
"ENCSR527DXF",0,-3.38341085983964
"ENCSR384KAN",0,-2.5189369885465
"ENCSR018ZUE",0,-1.89159004248834
"ENCSR565DGW",0,-2.84511227691058
"ENCSR322HHA",0,-1.5142468185516
"ENCSR977OXG",0,-2.63706595911902
"ENCSR373ODC",0,-2.02116010336594
"ENCSR987NYS",0,-2.19929699860722
"ENCSR331MIC",0,-2.95910517747038
"ENCSR097NEE",0,-4.36459318497711
"ENCSR893NWB",0,-4.08005379892986
"ENCSR965DLL",0,0.0247748888849203
"ENCSR061SZV",0,-2.08598015005271
"ENCSR456JJQ",0,-2.27755072121071
"ENCSR973HOJ",0,-4.73168571419305
"ENCSR050BDZ",0,-3.92826034421789
"ENCSR141OIM",0,-3.35339491201092
"ENCSR773KRC",0,-2.23605056046846
"ENCSR061EVO",0,-4.83967359976642
"ENCSR121NVA",0,-3.74734968363767
"ENCSR550DVK",0,-0.665811603885396
"ENCSR907GUB",0,-1.75311928721672
"ENCSR135VMS",0,-2.12104095483976
"ENCSR919HSE",0,-0.541732964619989
"ENCSR366DGX",0,-1.44318989459801
"ENCSR214BZA",0,-2.73317491673127
"ENCSR486YGP",0,-1.84630801833278
"ENCSR290VLT",0,-0.796217387642447
"ENCSR337XGI",0,-1.24405488957999
"ENCSR489ABS",0,-1.25838643137965
"ENCSR301TFY",0,-2.19150187591888
"ENCSR845VGB",0,-3.76936913807305
"ENCSR352STY",0,-2.91804427357868
"ENCSR384MWO",0,-0.983372116746878
"ENCSR202BFN",0,-1.28378226651499
"ENCSR647HOX",0,-2.42707654807607
"ENCSR876EYA",0,-4.10991230480064
"ENCSR861GYE",0,-4.36127274747656
"ENCSR490IEE",0,-3.68288564725897
"ENCSR023UHL",0,-3.14132931229691
"ENCSR018WPY",0,-3.88397123434041
"ENCSR820UYE",0,-3.4239366185253
"ENCSR744GEU",0,-3.29729694600054
"ENCSR820WHR",0,-2.28689490823699
"ENCSR570WLM",0,-1.88703276397798
"ENCSR314UMJ",0,-2.75194415691013
"ENCSR693JWP",0,-3.14885991099273
"ENCSR735HOK",0,-4.12947486331757
"ENCSR085JPB",0,-3.38754858185997
"ENCSR506UPY",0,-1.10371406441441
"ENCSR539BEV",0,-4.75247920976155
"ENCSR989VIY",0,-2.71039553236799
"ENCSR648LAH",0,-3.83008710856019
"ENCSR721HPX",0,-5.33018691130011
"ENCSR820DQJ",0,-3.5641110063789
"ENCSR041NUV",0,-2.20493686469846
"ENCSR623VEQ",0,-1.14340143300828
"ENCSR464OSH",0,-1.26936861294862
"ENCSR668MJX",0,-3.62036812899404
"ENCSR815VVI",0,-2.36192281252184
"ENCSR339FUY",0,-2.84101475825766
"ENCSR513NDD",0,-1.91560471423612
"ENCSR267UCX",0,0.0184805204333509
"ENCSR754NDA",0,-2.91521134880627
"ENCSR580MFX",0,-2.90551073583384
"ENCSR488JKQ",0,-3.08007552815858
"ENCSR903PRV",0,-3.67848674422225
"ENCSR961OKA",0,-2.59755367282443
"ENCSR841EQA",0,-0.862761820079979
"ENCSR277DEO",0,-2.00455517742052
"ENCSR256CHX",0,-3.95046134466727
"ENCSR194HZU",0,-2.7854982596526
"ENCSR361OCV",0,-3.83920739537652
"ENCSR724RDN",0,-1.61224771632421
"ENCSR830BSQ",0,-4.0372368600077
"ENCSR769UEW",0,-0.857084829776279
"ENCSR805SRN",0,-3.42374206908044
"ENCSR543TPH",0,-2.58125644535651
"ENCSR921SXC",0,-2.10775470048002
"ENCSR828ZID",0,-1.44706670156436
"ENCSR406OOZ",0,-3.85984720858875
"ENCSR571ROL",0,-1.45325916265517
"ENCSR328LLU",0,-1.86232817253377
"ENCSR916XIV",0,-3.63627671713179
"ENCSR485QCG",0,-1.5254783120228
"ENCSR916SRV",0,-2.92161898139982
