Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	Bam files

ENCSR987FTF	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										RBFOX2-human	RNA				ultraviolet irradiation	strand-specific	2015-07-15	ENCODE		see document	175-300	1	1_1		44					/files/ENCFF172GUS/, /files/ENCFF647KDW/	381425464	Gene Yeo, UCSD	b9e69f61aec8bb4c8f4cf890ab4793fd	ENCFF239CML,ENCFF170YQV
ENCSR993OLA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										IGF2BP3-human	RNA				ultraviolet irradiation	strand-specific	2015-07-15	ENCODE		see document	175-300	1	1_1		44					/files/ENCFF518ZYS/, /files/ENCFF333RHN/	429393608	Gene Yeo, UCSD	af05c1177178efeb9cc5a5b7ba0a3383	ENCFF270FPU,ENCFF015NHN
ENCSR240MVJ	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										HNRNPU-human	RNA				ultraviolet irradiation	strand-specific	2015-07-15	ENCODE		see document	175-300	2	2_1		43					/files/ENCFF195JRZ/, /files/ENCFF942SSU/	561197346	Gene Yeo, UCSD	41ceabb5688ed1d06e7c465841ebc7b2	ENCFF125EPG,ENCFF587PLY
ENCSR018RVZ	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										NCBP2-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF841ZMA/, /files/ENCFF444ZHJ/	369139143	Gene Yeo, UCSD	314105abb690e68633dda34adf6036aa	ENCFF025VQL,ENCFF138FXS
ENCSR970FEW	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		41					/files/ENCFF479WLK/, /files/ENCFF939HML/	351158609	Gene Yeo, UCSD	491ff6e60b35e42740399dfe58f4a1e4	ENCFF340WIB,ENCFF618EON
ENCSR685AUR	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										ZNF800-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		43					/files/ENCFF348GPW/, /files/ENCFF959DLJ/	191259832	Gene Yeo, UCSD	d2c90bbd9a6a9896e265367a3214d108	ENCFF474PGR,ENCFF265GVT
ENCSR356ZMO	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										AKAP1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF852ECZ/, /files/ENCFF990EAG/	297855273	Gene Yeo, UCSD	54fea4911c8e4113776968dd4c4d5317	ENCFF127MXD,ENCFF780HTF
ENCSR766FAC	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										RPS3-human	RNA				ultraviolet irradiation	strand-specific	2017-08-15	ENCODE		see document	175-300	1	1_1		35					/files/ENCFF574FKW/, /files/ENCFF048FYV/	158836946	Gene Yeo, UCSD	566e6cdc5247751ea1ea6947f4f41a7f	ENCFF233HCD,ENCFF959SXJ
ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF920RKR/, /files/ENCFF048PWH/	958011535	Gene Yeo, UCSD	5000e35ccac73fa94169174d4d185df1	ENCFF559ATC,ENCFF202ITE
ENCSR279UJF	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										SF3B4-human	RNA				ultraviolet irradiation	strand-specific	2015-11-09	ENCODE		see document	175-300	1	1_1		43					/files/ENCFF992GNI/, /files/ENCFF869UXX/	120477441	Gene Yeo, UCSD	a18c2060678f8f159daf8da395a34414	ENCFF040BYE,ENCFF483VLR
ENCSR993FMY	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										TROVE2-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1		43					/files/ENCFF476NYI/, /files/ENCFF049UNM/	403944443	Gene Yeo, UCSD	3abab65a099c7ec9eb1aa9a02427da0a	ENCFF527CKN,ENCFF580PEL
ENCSR351PVI	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										SLTM-human	RNA				ultraviolet irradiation	strand-specific	2015-11-09	ENCODE		see document	175-300	2	2_1		43					/files/ENCFF958NRC/, /files/ENCFF208JVP/	375842164	Gene Yeo, UCSD	c04c0b07f0212fc22d3c0bb788c9d86e	ENCFF021KOR,ENCFF201XIY
ENCSR786TSC	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										ILF3-human	RNA				ultraviolet irradiation	strand-specific	2016-08-19	ENCODE		see document	175-300	1	1_1		41					/files/ENCFF479BNC/, /files/ENCFF431PMM/	652065969	Gene Yeo, UCSD	ec71766c799f269c8657675c4d94d740	ENCFF702XFC,ENCFF245KXT
ENCSR834YLD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										DROSHA-human	RNA				ultraviolet irradiation	strand-specific	2018-04-24	ENCODE		see document	175-300	2	2_1		44					/files/ENCFF484RCY/, /files/ENCFF110FOW/	768922471	Gene Yeo, UCSD	58a7277e54b02a9653aabf923613a059	ENCFF413DZP,ENCFF401NJF
ENCSR655NZA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										XRN2-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF470XOZ/, /files/ENCFF184DUX/	178683756	Gene Yeo, UCSD	c60633df43e3f65d63f5709ca01d71ef	ENCFF584DZW,ENCFF689OKB
ENCSR755TJC	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										HNRNPUL1-human	RNA				ultraviolet irradiation	strand-specific	2015-11-09	ENCODE		see document	175-300	1	1_1		43					/files/ENCFF007BKB/, /files/ENCFF168AGB/	418134633	Gene Yeo, UCSD	d0d85784ba6b6c8f90934c1ea65371e5	ENCFF536XVW,ENCFF956ELY
ENCSR265ZIS	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										GTF2F1-human	RNA				ultraviolet irradiation	strand-specific	2015-11-09	ENCODE		see document	175-300	2	2_1		35					/files/ENCFF747FBU/, /files/ENCFF692APB/	350105390	Gene Yeo, UCSD	c42804df8e440ca6c24c71a70dac632e	ENCFF157WNL,ENCFF400HJB
ENCSR527DXF	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										EFTUD2-human	RNA				ultraviolet irradiation	strand-specific	2016-04-26	ENCODE		see document	175-300	1	1_1		39					/files/ENCFF490GBA/, /files/ENCFF454UOS/	454495870	Gene Yeo, UCSD	09fbc46885a40976cc3910b68d1f10cb	ENCFF499JDZ,ENCFF061QCD
