Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	Bam files
ENCSR349CMI	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										WDR43-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		43					/files/ENCFF899IIA/, /files/ENCFF522XKE/	65135475	Gene Yeo, UCSD	574a3423066e347b169394e710c34ee7	ENCFF580XQC,ENCFF912BRE
ENCSR040QLV	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										DDX21-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		43					/files/ENCFF671GCD/, /files/ENCFF946SJB/	174128080	Gene Yeo, UCSD	49068cbff72301f46b9b98aea3244b76	ENCFF455REV,ENCFF655QSG
ENCSR181NRW	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										ZC3H8-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF411LMS/, /files/ENCFF222OHT/	47191103	Gene Yeo, UCSD	7b45f6be60f740d1be3bcbbef163ce30	ENCFF409GUM,ENCFF892SVF
ENCSR999YGP	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GRWD1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF939DRW/, /files/ENCFF727IRZ/	528872067	Gene Yeo, UCSD	996efdb96c8309784100a5d6eabb4362	ENCFF217MRO,ENCFF330PVJ
ENCSR922WJV	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										PCBP1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF010ECT/, /files/ENCFF795GKY/	93080178	Gene Yeo, UCSD	e54909a68f90985cdd08c7fcf8c6e423	ENCFF041ETC,ENCFF345TZP
ENCSR023PKW	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF548DYX/, /files/ENCFF908IVH/	53684866	Gene Yeo, UCSD	cc68c4126cebf949012b640bc11f86ce	ENCFF724QGF,ENCFF605PZM
ENCSR249ROI	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										HNRNPC-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF734JPC/, /files/ENCFF149LRA/	622539892	Gene Yeo, UCSD	c35a6f783bff631fa6853c7d246d54bf	ENCFF048BIQ,ENCFF935AZO
ENCSR046JHH	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										CPEB4-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF764VBB/, /files/ENCFF854FIH/	78127181	Gene Yeo, UCSD	f02b73b7bddbf4ad4f10bcbe794f1712	ENCFF038VZO,ENCFF216ENA
ENCSR177QQY	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										AKAP1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF413SVN/, /files/ENCFF187YLY/	208109233	Gene Yeo, UCSD	9e983837ba13135a12db7ac2e253d6df	ENCFF710RUU,ENCFF016YOC
ENCSR554UVB	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										FMR1-human	RNA				ultraviolet irradiation	reverse	2022-07-19	ENCODE		see document	175-300	1	1_1		89					/files/ENCFF368DCQ/	78629349	Gene Yeo, UCSD	810a5903576b6e24895c0f12c6ceb4ed	ENCFF116JQY,ENCFF060SQN,ENCFF245BWO,ENCFF368DCQ
ENCSR256NCI	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										APEX1-human	RNA				ultraviolet irradiation	reverse	2022-09-12	ENCODE		see document	175-300	1	1_1		88					/files/ENCFF785OLO/	209686719	Gene Yeo, UCSD	0ab64c6f4217dbb747a34c51d5a83bc1	ENCFF229VXP,ENCFF111VDP,ENCFF055GIW,ENCFF504OBG
ENCSR100ARZ	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										RPS6-human	RNA				ultraviolet irradiation	reverse	2022-07-19	ENCODE		see document	175-300	1	1_1		63					/files/ENCFF182GNB/	213733388	Gene Yeo, UCSD	c2226c7d44ea31c3c2c21384fd7bd5f1	ENCFF231YMW,ENCFF508QDD,ENCFF414VIJ,ENCFF931MCZ
ENCSR448GXJ	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GARS-human	RNA				ultraviolet irradiation	reverse	2022-07-19	ENCODE		see document	175-300	1	1_1		64					/files/ENCFF530TJP/	202601149	Gene Yeo, UCSD	2d1bf24b33bfb05e78e08168484b1305	ENCFF212MXS,ENCFF548HWJ,ENCFF221NHT,ENCFF852FHN
ENCSR720BJU	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										TARDBP-human	RNA				ultraviolet irradiation	reverse	2022-07-19	ENCODE		see document	175-300	1	1_1		63					/files/ENCFF673VEJ/	248292408	Gene Yeo, UCSD	9b1f137b222af4b38be3badf8b0b297f	ENCFF946DDI,ENCFF862SNV,ENCFF198BGK,ENCFF748KMS
ENCSR089BXO	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										ABCF1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		35					/files/ENCFF241MTQ/, /files/ENCFF781LAN/	48022162	Gene Yeo, UCSD	a825625901049419a3f4bcc9c9a11738	ENCFF983ABI,ENCFF811EXB
ENCSR580OFI	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SUPV3L1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF987DVU/, /files/ENCFF813UKO/	39393326	Gene Yeo, UCSD	aec6b5437fa38c7e3b812eec2498a291	ENCFF829FDR,ENCFF496FIX
ENCSR001KKZ	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										PHF6-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF877HWY/, /files/ENCFF042XJN/	116981562	Gene Yeo, UCSD	c79bbcd6835bbc2255aa4acd9122ed12	ENCFF282OCB,ENCFF885ZMH
ENCSR356MSW	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SSB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF734LCT/, /files/ENCFF677KYJ/	185616736	Gene Yeo, UCSD	4c0de16a513f4b083523d23ad7852e59	ENCFF566TDO,ENCFF205JFL
ENCSR756CKJ	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										RBFOX2-human	RNA				ultraviolet irradiation	strand-specific	2016-09-21	ENCODE		see document	175-300	2	2_1		41					/files/ENCFF163QEA/, /files/ENCFF942TPA/	437955173	Gene Yeo, UCSD	d755c25b4ef1381c4638d140855ce92e	ENCFF296GDR,ENCFF537RYR
ENCSR121GQH	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SERBP1-human	RNA				ultraviolet irradiation	strand-specific	2016-09-21	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF628QLB/, /files/ENCFF007VAP/	8923742	Gene Yeo, UCSD	e8783917f30fc4a5daef9ed848d2648d	ENCFF951GRM,ENCFF943MCZ
